#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Armor
310.0,ManectricMega Manectric,Electric,,575.0,70,75,80,135,80,135,3.0,False,96
311.0,Plusle,Electric,,405.0,60,50,40,85,75,95,3.0,False,48
312.0,Minun,Electric,,405.0,60,40,50,75,85,95,3.0,False,60
313.0,Volbeat,Bug,,400.0,65,73,55,47,75,85,3.0,False,66
314.0,Illumise,Bug,,400.0,65,47,55,73,75,85,3.0,False,66
315.0,Roselia,Grass,Poison,400.0,50,60,45,100,80,65,3.0,False,54
316.0,Gulpin,Poison,,302.0,70,43,53,43,53,40,3.0,False,63
317.0,Swalot,Poison,,467.0,100,73,83,73,83,55,3.0,False,99
318.0,Carvanha,Water,Dark,305.0,45,90,20,65,20,65,3.0,False,24
319.0,Sharpedo,Water,Dark,460.0,70,120,40,95,40,95,3.0,False,48
319.0,SharpedoMega Sharpedo,Water,Dark,560.0,70,140,70,110,65,105,3.0,False,84
320.0,Wailmer,Water,,400.0,130,70,35,70,35,60,3.0,False,42
321.0,Wailord,Water,,500.0,170,90,45,90,45,60,3.0,False,54
322.0,Numel,Fire,Ground,305.0,60,60,40,65,45,35,3.0,False,48
323.0,Camerupt,Fire,Ground,460.0,70,100,70,105,75,40,3.0,False,84
323.0,CameruptMega Camerupt,Fire,Ground,560.0,70,120,100,145,105,20,3.0,False,120
324.0,Torkoal,Fire,,470.0,70,85,140,85,70,20,3.0,False,168
325.0,Spoink,Psychic,,330.0,60,25,35,70,80,60,3.0,False,42
326.0,Grumpig,Psychic,,470.0,80,45,65,90,110,80,3.0,False,78
327.0,Spinda,Normal,,360.0,60,60,60,60,60,60,3.0,False,72
328.0,Trapinch,Ground,,290.0,45,100,45,45,45,10,3.0,False,54
329.0,Vibrava,Ground,Dragon,340.0,50,70,50,50,50,70,3.0,False,60
330.0,Flygon,Ground,Dragon,520.0,80,100,80,80,80,100,3.0,False,96
331.0,Cacnea,Grass,,335.0,50,85,40,85,40,35,3.0,False,48
332.0,Cacturne,Grass,Dark,475.0,70,115,60,115,60,55,3.0,False,72
333.0,Swablu,Normal,Flying,310.0,45,40,60,40,75,50,3.0,False,72
334.0,Altaria,Dragon,Flying,490.0,75,70,90,70,105,80,3.0,False,108
334.0,AltariaMega Altaria,Dragon,Fairy,590.0,75,110,110,110,105,80,3.0,False,132
335.0,Zangoose,Normal,,458.0,73,115,60,60,60,90,3.0,False,72
336.0,Seviper,Poison,,458.0,73,100,60,100,60,65,3.0,False,72
337.0,Lunatone,Rock,Psychic,440.0,70,55,65,95,85,70,3.0,False,78
338.0,Solrock,Rock,Psychic,440.0,70,95,85,55,65,70,3.0,False,102
339.0,Barboach,Water,Ground,288.0,50,48,43,46,41,60,3.0,False,51
340.0,Whiscash,Water,Ground,468.0,110,78,73,76,71,60,3.0,False,87
341.0,Corphish,Water,,308.0,43,80,65,50,35,35,3.0,False,78
342.0,Crawdaunt,Water,Dark,468.0,63,120,85,90,55,55,3.0,False,102
343.0,Baltoy,Ground,Psychic,300.0,40,40,55,40,70,55,3.0,False,66
344.0,Claydol,Ground,Psychic,500.0,60,70,105,70,120,75,3.0,False,126
345.0,Lileep,Rock,Grass,355.0,66,41,77,61,87,23,3.0,False,92
346.0,Cradily,Rock,Grass,495.0,86,81,97,81,107,43,3.0,False,116
347.0,Anorith,Rock,Bug,355.0,45,95,50,40,50,75,3.0,False,60
348.0,Armaldo,Rock,Bug,495.0,75,125,100,70,80,45,3.0,False,120
349.0,Feebas,Water,,200.0,20,15,20,10,55,80,3.0,False,24
350.0,Milotic,Water,,540.0,95,60,79,100,125,81,3.0,False,94
351.0,Castform,Normal,,420.0,70,70,70,70,70,70,3.0,False,84
352.0,Kecleon,Normal,,440.0,60,90,70,60,120,40,3.0,False,84
353.0,Shuppet,Ghost,,295.0,44,75,35,63,33,45,3.0,False,42
354.0,Banette,Ghost,,455.0,64,115,65,83,63,65,3.0,False,78
354.0,BanetteMega Banette,Ghost,,555.0,64,165,75,93,83,75,3.0,False,90
355.0,Duskull,Ghost,,295.0,20,40,90,30,90,25,3.0,False,108
356.0,Dusclops,Ghost,,455.0,40,70,130,60,130,25,3.0,False,156
357.0,Tropius,Grass,Flying,460.0,99,68,83,72,87,51,3.0,False,99
358.0,Chimecho,Psychic,,425.0,65,50,70,95,80,65,3.0,False,84
359.0,Absol,Dark,,465.0,65,130,60,75,60,75,3.0,False,72
359.0,AbsolMega Absol,Dark,,565.0,65,150,60,115,60,115,3.0,False,72
360.0,Wynaut,Psychic,,260.0,95,23,48,23,48,23,3.0,False,57
361.0,Snorunt,Ice,,300.0,50,50,50,50,50,50,3.0,False,60
362.0,Glalie,Ice,,480.0,80,80,80,80,80,80,3.0,False,96
362.0,GlalieMega Glalie,Ice,,580.0,80,120,80,120,80,100,3.0,False,96
363.0,Spheal,Ice,Water,290.0,70,40,50,55,50,25,3.0,False,60
364.0,Sealeo,Ice,Water,410.0,90,60,70,75,70,45,3.0,False,84
365.0,Walrein,Ice,Water,530.0,110,80,90,95,90,65,3.0,False,108
366.0,Clamperl,Water,,345.0,35,64,85,74,55,32,3.0,False,102
367.0,Huntail,Water,,485.0,55,104,105,94,75,52,3.0,False,126
368.0,Gorebyss,Water,,485.0,55,84,105,114,75,52,3.0,False,126
369.0,Relicanth,Water,Rock,485.0,100,90,130,45,65,55,3.0,False,156
370.0,Luvdisc,Water,,330.0,43,30,55,40,65,97,3.0,False,66
371.0,Bagon,Dragon,,300.0,45,75,60,40,30,50,3.0,False,72
372.0,Shelgon,Dragon,,420.0,65,95,100,60,50,50,3.0,False,120
373.0,Salamence,Dragon,Flying,600.0,95,135,80,110,80,100,3.0,False,96
373.0,SalamenceMega Salamence,Dragon,Flying,700.0,95,145,130,120,90,120,3.0,False,156
374.0,Beldum,Steel,Psychic,300.0,40,55,80,35,60,30,3.0,False,96
375.0,Metang,Steel,Psychic,420.0,60,75,100,55,80,50,3.0,False,120
376.0,Metagross,Steel,Psychic,600.0,80,135,130,95,90,70,3.0,False,156
376.0,MetagrossMega Metagross,Steel,Psychic,700.0,80,145,150,105,110,110,3.0,False,180
377.0,Regirock,Rock,,580.0,80,100,200,50,100,50,3.0,True,240
378.0,Regice,Ice,,580.0,80,50,100,100,200,50,3.0,True,120
379.0,Registeel,Steel,,580.0,80,75,150,75,150,50,3.0,True,180
380.0,Latias,Dragon,Psychic,600.0,80,80,90,110,130,110,3.0,True,108
380.0,LatiasMega Latias,Dragon,Psychic,700.0,80,100,120,140,150,110,3.0,True,144
381.0,Latios,Dragon,Psychic,600.0,80,90,80,130,110,110,3.0,True,96
381.0,LatiosMega Latios,Dragon,Psychic,700.0,80,130,100,160,120,110,3.0,True,120
382.0,Kyogre,Water,,670.0,100,100,90,150,140,90,3.0,True,108
382.0,KyogrePrimal Kyogre,Water,,770.0,100,150,90,180,160,90,3.0,True,108
383.0,Groudon,Ground,,670.0,100,150,140,100,90,90,3.0,True,168
383.0,GroudonPrimal Groudon,Ground,Fire,770.0,100,180,160,150,90,90,3.0,True,192
384.0,Rayquaza,Dragon,Flying,680.0,105,150,90,150,90,95,3.0,True,108
384.0,RayquazaMega Rayquaza,Dragon,Flying,780.0,105,180,100,180,100,115,3.0,True,120
385.0,Jirachi,Steel,Psychic,600.0,100,100,100,100,100,100,3.0,True,120
386.0,DeoxysNormal Forme,Psychic,,600.0,50,150,50,150,50,150,3.0,True,60
386.0,DeoxysAttack Forme,Psychic,,600.0,50,180,20,180,20,150,3.0,True,24
386.0,DeoxysDefense Forme,Psychic,,600.0,50,70,160,70,160,90,3.0,True,192
386.0,DeoxysSpeed Forme,Psychic,,600.0,50,95,90,95,90,180,3.0,True,108
387.0,Turtwig,Grass,,318.0,55,68,64,45,55,31,4.0,False,76
388.0,Grotle,Grass,,405.0,75,89,85,55,65,36,4.0,False,102
389.0,Torterra,Grass,Ground,525.0,95,109,105,75,85,56,4.0,False,126
390.0,Chimchar,Fire,,309.0,44,58,44,58,44,61,4.0,False,52
391.0,Monferno,Fire,Fighting,405.0,64,78,52,78,52,81,4.0,False,62
392.0,Infernape,Fire,Fighting,534.0,76,104,71,104,71,108,4.0,False,85
393.0,Piplup,Water,,314.0,53,51,53,61,56,40,4.0,False,63
394.0,Prinplup,Water,,405.0,64,66,68,81,76,50,4.0,False,81
395.0,Empoleon,Water,Steel,530.0,84,86,88,111,101,60,4.0,False,105
396.0,Starly,Normal,Flying,245.0,40,55,30,30,30,60,4.0,False,36
397.0,Staravia,Normal,Flying,340.0,55,75,50,40,40,80,4.0,False,60
398.0,Staraptor,Normal,Flying,485.0,85,120,70,50,60,100,4.0,False,84
399.0,Bidoof,Normal,,250.0,59,45,40,35,40,31,4.0,False,48
400.0,Bibarel,Normal,Water,410.0,79,85,60,55,60,71,4.0,False,72
401.0,Kricketot,Bug,,194.0,37,25,41,25,41,25,4.0,False,49
402.0,Kricketune,Bug,,384.0,77,85,51,55,51,65,4.0,False,61
403.0,Shinx,Electric,,263.0,45,65,34,40,34,45,4.0,False,40
404.0,Luxio,Electric,,363.0,60,85,49,60,49,60,4.0,False,58
405.0,Luxray,Electric,,523.0,80,120,79,95,79,70,4.0,False,94
406.0,Budew,Grass,Poison,280.0,40,30,35,50,70,55,4.0,False,42
407.0,Roserade,Grass,Poison,515.0,60,70,65,125,105,90,4.0,False,78
408.0,Cranidos,Rock,,350.0,67,125,40,30,30,58,4.0,False,48
409.0,Rampardos,Rock,,495.0,97,165,60,65,50,58,4.0,False,72
410.0,Shieldon,Rock,Steel,350.0,30,42,118,42,88,30,4.0,False,141
411.0,Bastiodon,Rock,Steel,495.0,60,52,168,47,138,30,4.0,False,201
412.0,Burmy,Bug,,224.0,40,29,45,29,45,36,4.0,False,54
413.0,WormadamPlant Cloak,Bug,Grass,424.0,60,59,85,79,105,36,4.0,False,102
413.0,WormadamSandy Cloak,Bug,Ground,424.0,60,79,105,59,85,36,4.0,False,126
413.0,WormadamTrash Cloak,Bug,Steel,424.0,60,69,95,69,95,36,4.0,False,114
414.0,Mothim,Bug,Flying,424.0,70,94,50,94,50,66,4.0,False,60
415.0,Combee,Bug,Flying,244.0,30,30,42,30,42,70,4.0,False,50
416.0,Vespiquen,Bug,Flying,474.0,70,80,102,80,102,40,4.0,False,122
417.0,Pachirisu,Electric,,405.0,60,45,70,45,90,95,4.0,False,84
418.0,Buizel,Water,,330.0,55,65,35,60,30,85,4.0,False,42
419.0,Floatzel,Water,,495.0,85,105,55,85,50,115,4.0,False,66
420.0,Cherubi,Grass,,275.0,45,35,45,62,53,35,4.0,False,54
421.0,Cherrim,Grass,,450.0,70,60,70,87,78,85,4.0,False,84
422.0,Shellos,Water,,325.0,76,48,48,57,62,34,4.0,False,57
423.0,Gastrodon,Water,Ground,475.0,111,83,68,92,82,39,4.0,False,81
424.0,Ambipom,Normal,,482.0,75,100,66,60,66,115,4.0,False,79
425.0,Drifloon,Ghost,Flying,348.0,90,50,34,60,44,70,4.0,False,40
426.0,Drifblim,Ghost,Flying,498.0,150,80,44,90,54,80,4.0,False,52
427.0,Buneary,Normal,,350.0,55,66,44,44,56,85,4.0,False,52
428.0,Lopunny,Normal,,480.0,65,76,84,54,96,105,4.0,False,100
428.0,LopunnyMega Lopunny,Normal,Fighting,580.0,65,136,94,54,96,135,4.0,False,112
429.0,Mismagius,Ghost,,495.0,60,60,60,105,105,105,4.0,False,72
430.0,Honchkrow,Dark,Flying,505.0,100,125,52,105,52,71,4.0,False,62
431.0,Glameow,Normal,,310.0,49,55,42,42,37,85,4.0,False,50
432.0,Purugly,Normal,,452.0,71,82,64,64,59,112,4.0,False,76
433.0,Chingling,Psychic,,285.0,45,30,50,65,50,45,4.0,False,60
434.0,Stunky,Poison,Dark,329.0,63,63,47,41,41,74,4.0,False,56
435.0,Skuntank,Poison,Dark,479.0,103,93,67,71,61,84,4.0,False,80
436.0,Bronzor,Steel,Psychic,300.0,57,24,86,24,86,23,4.0,False,103
437.0,Bronzong,Steel,Psychic,500.0,67,89,116,79,116,33,4.0,False,139
438.0,Bonsly,Rock,,290.0,50,80,95,10,45,10,4.0,False,114
439.0,Mime Jr.,Psychic,Fairy,310.0,20,25,45,70,90,60,4.0,False,54
440.0,Happiny,Normal,,220.0,100,5,5,15,65,30,4.0,False,6
441.0,Chatot,Normal,Flying,411.0,76,65,45,92,42,91,4.0,False,54
442.0,Spiritomb,Ghost,Dark,485.0,50,92,108,92,108,35,4.0,False,129
443.0,Gible,Dragon,Ground,300.0,58,70,45,40,45,42,4.0,False,54
444.0,Gabite,Dragon,Ground,410.0,68,90,65,50,55,82,4.0,False,78
445.0,Garchomp,Dragon,Ground,600.0,108,130,95,80,85,102,4.0,False,114
445.0,GarchompMega Garchomp,Dragon,Ground,700.0,108,170,115,120,95,92,4.0,False,138
446.0,Munchlax,Normal,,390.0,135,85,40,40,85,5,4.0,False,48
447.0,Riolu,Fighting,,285.0,40,70,40,35,40,60,4.0,False,48
448.0,Lucario,Fighting,Steel,525.0,70,110,70,115,70,90,4.0,False,84
448.0,LucarioMega Lucario,Fighting,Steel,625.0,70,145,88,140,70,112,4.0,False,105
449.0,Hippopotas,Ground,,330.0,68,72,78,38,42,32,4.0,False,93
450.0,Hippowdon,Ground,,525.0,108,112,118,68,72,47,4.0,False,141
451.0,Skorupi,Poison,Bug,330.0,40,50,90,30,55,65,4.0,False,108
452.0,Drapion,Poison,Dark,500.0,70,90,110,60,75,95,4.0,False,132
453.0,Croagunk,Poison,Fighting,300.0,48,61,40,61,40,50,4.0,False,48
454.0,Toxicroak,Poison,Fighting,490.0,83,106,65,86,65,85,4.0,False,78
455.0,Carnivine,Grass,,454.0,74,100,72,90,72,46,4.0,False,86
456.0,Finneon,Water,,330.0,49,49,56,49,61,66,4.0,False,67
457.0,Lumineon,Water,,460.0,69,69,76,69,86,91,4.0,False,91
458.0,Mantyke,Water,Flying,345.0,45,20,50,60,120,50,4.0,False,60
459.0,Snover,Grass,Ice,334.0,60,62,50,62,60,40,4.0,False,60
460.0,Abomasnow,Grass,Ice,494.0,90,92,75,92,85,60,4.0,False,90
460.0,AbomasnowMega Abomasnow,Grass,Ice,594.0,90,132,105,132,105,30,4.0,False,126
461.0,Weavile,Dark,Ice,510.0,70,120,65,45,85,125,4.0,False,78
462.0,Magnezone,Electric,Steel,535.0,70,70,115,130,90,60,4.0,False,138
463.0,Lickilicky,Normal,,515.0,110,85,95,80,95,50,4.0,False,114
464.0,Rhyperior,Ground,Rock,535.0,115,140,130,55,55,40,4.0,False,156
465.0,Tangrowth,Grass,,535.0,100,100,125,110,50,50,4.0,False,150
466.0,Electivire,Electric,,540.0,75,123,67,95,85,95,4.0,False,80
467.0,Magmortar,Fire,,540.0,75,95,67,125,95,83,4.0,False,80
468.0,Togekiss,Fairy,Flying,545.0,85,50,95,120,115,80,4.0,False,114
469.0,Yanmega,Bug,Flying,515.0,86,76,86,116,56,95,4.0,False,103
470.0,Leafeon,Grass,,525.0,65,110,130,60,65,95,4.0,False,156
471.0,Glaceon,Ice,,525.0,65,60,110,130,95,65,4.0,False,132
472.0,Gliscor,Ground,Flying,510.0,75,95,125,45,75,95,4.0,False,150
473.0,Mamoswine,Ice,Ground,530.0,110,130,80,70,60,80,4.0,False,96
474.0,Porygon-Z,Normal,,535.0,85,80,70,135,75,90,4.0,False,84
475.0,Gallade,Psychic,Fighting,518.0,68,125,65,65,115,80,4.0,False,78
475.0,GalladeMega Gallade,Psychic,Fighting,618.0,68,165,95,65,115,110,4.0,False,114
476.0,Probopass,Rock,Steel,525.0,60,55,145,75,150,40,4.0,False,174
477.0,Dusknoir,Ghost,,525.0,45,100,135,65,135,45,4.0,False,162
478.0,Froslass,Ice,Ghost,480.0,70,80,70,80,70,110,4.0,False,84
479.0,Rotom,Electric,Ghost,440.0,50,50,77,95,77,91,4.0,False,92
479.0,RotomHeat Rotom,Electric,Fire,520.0,50,65,107,105,107,86,4.0,False,128
479.0,RotomWash Rotom,Electric,Water,520.0,50,65,107,105,107,86,4.0,False,128
479.0,RotomFrost Rotom,Electric,Ice,520.0,50,65,107,105,107,86,4.0,False,128
479.0,RotomFan Rotom,Electric,Flying,520.0,50,65,107,105,107,86,4.0,False,128
479.0,RotomMow Rotom,Electric,Grass,520.0,50,65,107,105,107,86,4.0,False,128
480.0,Uxie,Psychic,,580.0,75,75,130,75,130,95,4.0,True,156
481.0,Mesprit,Psychic,,580.0,80,105,105,105,105,80,4.0,True,126
482.0,Azelf,Psychic,,580.0,75,125,70,125,70,115,4.0,True,84
483.0,Dialga,Steel,Dragon,680.0,100,120,120,150,100,90,4.0,True,144
484.0,Palkia,Water,Dragon,680.0,90,120,100,150,120,100,4.0,True,120
485.0,Heatran,Fire,Steel,600.0,91,90,106,130,106,77,4.0,True,127
486.0,Regigigas,Normal,,670.0,110,160,110,80,110,100,4.0,True,132
487.0,GiratinaAltered Forme,Ghost,Dragon,680.0,150,100,120,100,120,90,4.0,True,144
487.0,GiratinaOrigin Forme,Ghost,Dragon,680.0,150,120,100,120,100,90,4.0,True,120
488.0,Cresselia,Psychic,,600.0,120,70,120,75,130,85,4.0,False,144
489.0,Phione,Water,,480.0,80,80,80,80,80,80,4.0,False,96
490.0,Manaphy,Water,,600.0,100,100,100,100,100,100,4.0,False,120
491.0,Darkrai,Dark,,600.0,70,90,90,135,90,125,4.0,True,108
492.0,ShayminLand Forme,Grass,,600.0,100,100,100,100,100,100,4.0,True,120
492.0,ShayminSky Forme,Grass,Flying,600.0,100,103,75,120,75,127,4.0,True,90
493.0,Arceus,Normal,,720.0,120,120,120,120,120,120,4.0,True,144
494.0,Victini,Psychic,Fire,600.0,100,100,100,100,100,100,5.0,True,120
495.0,Snivy,Grass,,308.0,45,45,55,45,55,63,5.0,False,66
496.0,Servine,Grass,,413.0,60,60,75,60,75,83,5.0,False,90
497.0,Serperior,Grass,,528.0,75,75,95,75,95,113,5.0,False,114
498.0,Tepig,Fire,,308.0,65,63,45,45,45,45,5.0,False,54
499.0,Pignite,Fire,Fighting,418.0,90,93,55,70,55,55,5.0,False,66
500.0,Emboar,Fire,Fighting,528.0,110,123,65,100,65,65,5.0,False,78
501.0,Oshawott,Water,,308.0,55,55,45,63,45,45,5.0,False,54
502.0,Dewott,Water,,413.0,75,75,60,83,60,60,5.0,False,72
503.0,Samurott,Water,,528.0,95,100,85,108,70,70,5.0,False,102
504.0,Patrat,Normal,,255.0,45,55,39,35,39,42,5.0,False,46
505.0,Watchog,Normal,,420.0,60,85,69,60,69,77,5.0,False,82
506.0,Lillipup,Normal,,275.0,45,60,45,25,45,55,5.0,False,54
507.0,Herdier,Normal,,370.0,65,80,65,35,65,60,5.0,False,78
508.0,Stoutland,Normal,,500.0,85,110,90,45,90,80,5.0,False,108
509.0,Purrloin,Dark,,281.0,41,50,37,50,37,66,5.0,False,44
510.0,Liepard,Dark,,446.0,64,88,50,88,50,106,5.0,False,60
511.0,Pansage,Grass,,316.0,50,53,48,53,48,64,5.0,False,57
512.0,Simisage,Grass,,498.0,75,98,63,98,63,101,5.0,False,75
513.0,Pansear,Fire,,316.0,50,53,48,53,48,64,5.0,False,57
514.0,Simisear,Fire,,498.0,75,98,63,98,63,101,5.0,False,75
515.0,Panpour,Water,,316.0,50,53,48,53,48,64,5.0,False,57
516.0,Simipour,Water,,498.0,75,98,63,98,63,101,5.0,False,75
517.0,Munna,Psychic,,292.0,76,25,45,67,55,24,5.0,False,54
518.0,Musharna,Psychic,,487.0,116,55,85,107,95,29,5.0,False,102
519.0,Pidove,Normal,Flying,264.0,50,55,50,36,30,43,5.0,False,60
520.0,Tranquill,Normal,Flying,358.0,62,77,62,50,42,65,5.0,False,74
521.0,Unfezant,Normal,Flying,488.0,80,115,80,65,55,93,5.0,False,96
522.0,Blitzle,Electric,,295.0,45,60,32,50,32,76,5.0,False,38
523.0,Zebstrika,Electric,,497.0,75,100,63,80,63,116,5.0,False,75
524.0,Roggenrola,Rock,,280.0,55,75,85,25,25,15,5.0,False,102
525.0,Boldore,Rock,,390.0,70,105,105,50,40,20,5.0,False,126
526.0,Gigalith,Rock,,515.0,85,135,130,60,80,25,5.0,False,156
527.0,Woobat,Psychic,Flying,313.0,55,45,43,55,43,72,5.0,False,51
528.0,Swoobat,Psychic,Flying,425.0,67,57,55,77,55,114,5.0,False,66
529.0,Drilbur,Ground,,328.0,60,85,40,30,45,68,5.0,False,48
530.0,Excadrill,Ground,Steel,508.0,110,135,60,50,65,88,5.0,False,72
531.0,Audino,Normal,,445.0,103,60,86,60,86,50,5.0,False,103
531.0,AudinoMega Audino,Normal,Fairy,545.0,103,60,126,80,126,50,5.0,False,151
532.0,Timburr,Fighting,,305.0,75,80,55,25,35,35,5.0,False,66
533.0,Gurdurr,Fighting,,405.0,85,105,85,40,50,40,5.0,False,102
534.0,Conkeldurr,Fighting,,505.0,105,140,95,55,65,45,5.0,False,114
535.0,Tympole,Water,,294.0,50,50,40,50,40,64,5.0,False,48
536.0,Palpitoad,Water,Ground,384.0,75,65,55,65,55,69,5.0,False,66
537.0,Seismitoad,Water,Ground,509.0,105,95,75,85,75,74,5.0,False,90
538.0,Throh,Fighting,,465.0,120,100,85,30,85,45,5.0,False,102
539.0,Sawk,Fighting,,465.0,75,125,75,30,75,85,5.0,False,90
540.0,Sewaddle,Bug,Grass,310.0,45,53,70,40,60,42,5.0,False,84
541.0,Swadloon,Bug,Grass,380.0,55,63,90,50,80,42,5.0,False,108
542.0,Leavanny,Bug,Grass,500.0,75,103,80,70,80,92,5.0,False,96
543.0,Venipede,Bug,Poison,260.0,30,45,59,30,39,57,5.0,False,70
544.0,Whirlipede,Bug,Poison,360.0,40,55,99,40,79,47,5.0,False,118
545.0,Scolipede,Bug,Poison,485.0,60,100,89,55,69,112,5.0,False,106
546.0,Cottonee,Grass,Fairy,280.0,40,27,60,37,50,66,5.0,False,72
547.0,Whimsicott,Grass,Fairy,480.0,60,67,85,77,75,116,5.0,False,102
548.0,Petilil,Grass,,280.0,45,35,50,70,50,30,5.0,False,60
549.0,Lilligant,Grass,,480.0,70,60,75,110,75,90,5.0,False,90
550.0,Basculin,Water,,460.0,70,92,65,80,55,98,5.0,False,78
551.0,Sandile,Ground,Dark,292.0,50,72,35,35,35,65,5.0,False,42
552.0,Krokorok,Ground,Dark,351.0,60,82,45,45,45,74,5.0,False,54
553.0,Krookodile,Ground,Dark,519.0,95,117,80,65,70,92,5.0,False,96
554.0,Darumaka,Fire,,315.0,70,90,45,15,45,50,5.0,False,54
555.0,DarmanitanStandard Mode,Fire,,480.0,105,140,55,30,55,95,5.0,False,66
555.0,DarmanitanZen Mode,Fire,Psychic,540.0,105,30,105,140,105,55,5.0,False,126
556.0,Maractus,Grass,,461.0,75,86,67,106,67,60,5.0,False,80
557.0,Dwebble,Bug,Rock,325.0,50,65,85,35,35,55,5.0,False,102
558.0,Crustle,Bug,Rock,475.0,70,95,125,65,75,45,5.0,False,150
559.0,Scraggy,Dark,Fighting,348.0,50,75,70,35,70,48,5.0,False,84
560.0,Scrafty,Dark,Fighting,488.0,65,90,115,45,115,58,5.0,False,138
561.0,Sigilyph,Psychic,Flying,490.0,72,58,80,103,80,97,5.0,False,96
562.0,Yamask,Ghost,,303.0,38,30,85,55,65,30,5.0,False,102
563.0,Cofagrigus,Ghost,,483.0,58,50,145,95,105,30,5.0,False,174
564.0,Tirtouga,Water,Rock,355.0,54,78,103,53,45,22,5.0,False,123
565.0,Carracosta,Water,Rock,495.0,74,108,133,83,65,32,5.0,False,159
566.0,Archen,Rock,Flying,401.0,55,112,45,74,45,70,5.0,False,54
567.0,Archeops,Rock,Flying,567.0,75,140,65,112,65,110,5.0,False,78
568.0,Trubbish,Poison,,329.0,50,50,62,40,62,65,5.0,False,74
569.0,Garbodor,Poison,,474.0,80,95,82,60,82,75,5.0,False,98
570.0,Zorua,Dark,,330.0,40,65,40,80,40,65,5.0,False,48
571.0,Zoroark,Dark,,510.0,60,105,60,120,60,105,5.0,False,72
572.0,Minccino,Normal,,300.0,55,50,40,40,40,75,5.0,False,48
573.0,Cinccino,Normal,,470.0,75,95,60,65,60,115,5.0,False,72
574.0,Gothita,Psychic,,290.0,45,30,50,55,65,45,5.0,False,60
575.0,Gothorita,Psychic,,390.0,60,45,70,75,85,55,5.0,False,84
576.0,Gothitelle,Psychic,,490.0,70,55,95,95,110,65,5.0,False,114
577.0,Solosis,Psychic,,290.0,45,30,40,105,50,20,5.0,False,48
578.0,Duosion,Psychic,,370.0,65,40,50,125,60,30,5.0,False,60
579.0,Reuniclus,Psychic,,490.0,110,65,75,125,85,30,5.0,False,90
580.0,Ducklett,Water,Flying,305.0,62,44,50,44,50,55,5.0,False,60
581.0,Swanna,Water,Flying,473.0,75,87,63,87,63,98,5.0,False,75
582.0,Vanillite,Ice,,305.0,36,50,50,65,60,44,5.0,False,60
583.0,Vanillish,Ice,,395.0,51,65,65,80,75,59,5.0,False,78
584.0,Vanilluxe,Ice,,535.0,71,95,85,110,95,79,5.0,False,102
585.0,Deerling,Normal,Grass,335.0,60,60,50,40,50,75,5.0,False,60
586.0,Sawsbuck,Normal,Grass,475.0,80,100,70,60,70,95,5.0,False,84
587.0,Emolga,Electric,Flying,428.0,55,75,60,75,60,103,5.0,False,72
588.0,Karrablast,Bug,,315.0,50,75,45,40,45,60,5.0,False,54
589.0,Escavalier,Bug,Steel,495.0,70,135,105,60,105,20,5.0,False,126
590.0,Foongus,Grass,Poison,294.0,69,55,45,55,55,15,5.0,False,54
591.0,Amoonguss,Grass,Poison,464.0,114,85,70,85,80,30,5.0,False,84
592.0,Frillish,Water,Ghost,335.0,55,40,50,65,85,40,5.0,False,60
593.0,Jellicent,Water,Ghost,480.0,100,60,70,85,105,60,5.0,False,84
594.0,Alomomola,Water,,470.0,165,75,80,40,45,65,5.0,False,96
595.0,Joltik,Bug,Electric,319.0,50,47,50,57,50,65,5.0,False,60
596.0,Galvantula,Bug,Electric,472.0,70,77,60,97,60,108,5.0,False,72
597.0,Ferroseed,Grass,Steel,305.0,44,50,91,24,86,10,5.0,False,109
598.0,Ferrothorn,Grass,Steel,489.0,74,94,131,54,116,20,5.0,False,157
599.0,Klink,Steel,,300.0,40,55,70,45,60,30,5.0,False,84
600.0,Klang,Steel,,440.0,60,80,95,70,85,50,5.0,False,114
601.0,Klinklang,Steel,,520.0,60,100,115,70,85,90,5.0,False,138
602.0,Tynamo,Electric,,275.0,35,55,40,45,40,60,5.0,False,48
603.0,Eelektrik,Electric,,405.0,65,85,70,75,70,40,5.0,False,84
604.0,Eelektross,Electric,,515.0,85,115,80,105,80,50,5.0,False,96
605.0,Elgyem,Psychic,,335.0,55,55,55,85,55,30,5.0,False,66
606.0,Beheeyem,Psychic,,485.0,75,75,75,125,95,40,5.0,False,90
607.0,Litwick,Ghost,Fire,275.0,50,30,55,65,55,20,5.0,False,66
608.0,Lampent,Ghost,Fire,370.0,60,40,60,95,60,55,5.0,False,72
609.0,Chandelure,Ghost,Fire,520.0,60,55,90,145,90,80,5.0,False,108
610.0,Axew,Dragon,,320.0,46,87,60,30,40,57,5.0,False,72
611.0,Fraxure,Dragon,,410.0,66,117,70,40,50,67,5.0,False,84
612.0,Haxorus,Dragon,,540.0,76,147,90,60,70,97,5.0,False,108
613.0,Cubchoo,Ice,,305.0,55,70,40,60,40,40,5.0,False,48
614.0,Beartic,Ice,,485.0,95,110,80,70,80,50,5.0,False,96
615.0,Cryogonal,Ice,,485.0,70,50,30,95,135,105,5.0,False,36
616.0,Shelmet,Bug,,305.0,50,40,85,40,65,25,5.0,False,102
617.0,Accelgor,Bug,,495.0,80,70,40,100,60,145,5.0,False,48
